Transaction_ID,Order_ID,Customer_ID,Customer_Name,Customer_Age,Customer_Gender,Customer_Segment,Order_Date,Order_Time,Sales_Channel,Store_ID,Store_Name,Country,Region,City,Product_ID,Product_Name,Product_Category,Product_Subcategory,Quantity,Unit_Price,Discount_Percentage,Sales_Amount,Cost_Amount,Profit,Payment_Method,Order_Status,Shipping_Method,Delivery_Days,Return_Flag,Return_Reason,Sales_Representative,Promotion_Code,Customer_Rating,Inventory_Level,Total Order Value,Inventory Status,Amount after discount,Order_Year,charged Amount %
T02003387,O0101693,C02231,Liam Baker,39,Female,Small Business,03-11-2023 00:00,0.401608796,B2B Portal,LON-01,London City,United Kingdom,England,London,P010,Standing Desk,Furniture,Office Furniture,4,704.95,5,2678.81,2076.76,602.06,Credit Card,Completed,Standard,4,No,Not Returned,Amelia Jackson,CORP5,4,50,2819.8,IN Stock,2544.8695,2023,95
T02017823,O0117823,C02966,Mia Wright,20,Other,Corporate,16-07-2024 00:00,0.862696759,Online,LA-01,Los Angeles Downtown,United States,West,Los Angeles,P003,EdgeTab 11 Tablet,Electronics,Tablets,1,510.45,5,484.93,410.38,74.55,Credit Card,Completed,Express,1,No,Not Returned,Amelia Jackson,Not Avl,4,50,510.45,IN Stock,460.6835,2024,95
T02001207,O0101207,C00587,Lucas Brown,44,Male,Consumer,18-01-2025 00:00,0.579108796,B2B Portal,SYD-01,Sydney CBD,Australia,New South Wales,Sydney,P018,Premium Pens,Office Supplies,Writing,8,24.92,5,189.37,120.13,69.24,PayPal,Completed,Express,1,No,Not Returned,Henry White,Not Avl,4,51,199.36,IN Stock,179.9015,2025,95
T02005722,O0105722,C01821,William Taylor,40,Female,Consumer,01-03-2024 00:00,0.542476852,Retail Store,LA-01,Los Angeles Downtown,United States,West,Los Angeles,P027,Security Camera,Electronics,Cameras,1,158.58,0,158.58,115.39,43.19,Cash,Completed,Standard,6,No,Not Returned,Charlotte Thomas,Not Avl,3,35,158.58,IN Stock,158.58,2024,100
T02008645,O0108645,C01442,Emma Clark,46,Male,New Customer,08-03-2022 00:00,0.457708333,B2B Portal,NYC-01,New York Central,United States,Northeast,New York,P025,USB Power Hub,Electronics,Accessories,9,49.51,10,401.06,286.83,114.23,Bank Transfer,Completed,Standard,3,No,Not Returned,Daniel Miller,Not Avl,4,32,445.59,IN Stock,360.954,2022,90
T02017239,O0108619,C03004,Mia Allen,42,Female,Consumer,29-03-2022 00:00,0.664537037,Retail Store,LA-01,Los Angeles Downtown,United States,West,Los Angeles,P005,Office Keyboard,Electronics,Accessories,4,58.95,0,235.82,155.9,79.91,Cash,Completed,Pickup,0,No,Not Returned,Olivia Martin,BLACKFRIDAY25,5,85,235.8,IN Stock,235.82,2022,100
T02012490,O0112490,C04469,Benjamin Thompson,38,Female,Consumer,13-12-2024 00:00,0.744618056,Retail Store,MAN-01,Manchester North,United Kingdom,England,Manchester,P006,Precision Mouse,Electronics,Accessories,2,37.79,5,71.79,50.04,21.75,Bank Transfer,Completed,Pickup,0,No,Not Returned,Henry White,Not Avl,4,97,75.58,IN Stock,68.2005,2024,95
T02001485,O0101485,C00700,James Wilson,52,Male,Corporate,15-11-2022 00:00,0.815648148,Online,LON-01,London City,United Kingdom,England,London,P003,EdgeTab 11 Tablet,Electronics,Tablets,1,469.73,20,375.79,384.92,-9.14,Credit Card,Completed,Standard,4,No,Not Returned,Emma Carter,BACK2WORK,3,63,469.73,IN Stock,300.632,2022,80
T02017133,O0117133,C05585,Aria Miller,38,Female,Consumer,29-12-2023 00:00,0.603854167,Retail Store,AUS-01,Austin Business,United States,South,Austin,P026,Webcam HD,Electronics,Cameras,2,88.25,25,132.37,123.22,9.15,Credit Card,Shipped,Pickup,0,No,Not Returned,Grace Harris,Not Avl,0,75,176.5,IN Stock,99.2775,2023,75
T02014362,O0114362,C02941,Liam Lewis,46,Female,Consumer,10-12-2025 00:00,0.574212963,Online,NYC-01,New York Central,United States,Northeast,New York,P016,Laser Toner,Office Supplies,Consumables,4,123.38,20,394.81,365.17,29.63,PayPal,Completed,Standard,3,No,Not Returned,Grace Harris,Not Avl,5,54,493.52,IN Stock,315.848,2025,80
T02006318,O0106318,C03947,Liam Adams,29,Female,Returning Customer,19-03-2024 00:00,0.364502315,Phone Order,LON-01,London City,United Kingdom,England,London,P012,Ergo Footrest,Furniture,Office Furniture,2,81.16,0,162.31,103.25,59.06,PayPal,Completed,Pickup,0,No,Not Returned,Ella Lewis,Not Avl,4,139,162.32,IN Stock,162.31,2024,100
T02011217,O0111217,C02602,Aria Adams,59,Female,Consumer,29-01-2024 00:00,0.676678241,Retail Store,SYD-01,Sydney CBD,Australia,New South Wales,Sydney,P015,Printer Plus,Office Supplies,Printers,1,268.15,5,254.74,216.49,38.25,Credit Card,Completed,Standard,7,No,Not Returned,Liam Davis,Not Avl,5,66,268.15,IN Stock,242.003,2024,95
T02005730,O0105730,C04994,Michael Jones,18,Other,Consumer,29-11-2025 00:00,0.546909722,Online,SYD-01,Sydney CBD,Australia,New South Wales,Sydney,P019,Notebook Pack,Office Supplies,Paper,2,29.35,10,52.82,36.5,16.32,Credit Card,Completed,Next Day,2,No,Not Returned,Liam Davis,Not Avl,0,72,58.7,IN Stock,47.538,2025,90
T02014162,O0114162,C03747,Leo Scott,32,Male,Returning Customer,23-03-2025 00:00,0.842210648,Online,TOR-01,Toronto Central,Canada,Ontario,Toronto,P002,ProBook 16 Laptop,Electronics,Laptops,2,1277.72,5,2427.66,2016.13,411.53,PayPal,Returned,Standard,5,Yes,Wrong Item,Michael Clark,HALLOWEEN15,0,54,2555.44,IN Stock,2306.277,2025,95
T02017856,O0117856,C01273,Noah White,45,Female,Consumer,03-06-2022 00:00,0.83318287,Online,LA-01,Los Angeles Downtown,United States,West,Los Angeles,P017,Copy Paper Box,Office Supplies,Paper,3,44.61,5,127.12,111.01,16.11,Bank Transfer,Completed,Standard,4,No,Not Returned,Emma Carter,Not Avl,5,74,133.83,IN Stock,120.764,2022,95
T02010273,O0110273,C03430,Chloe Lewis,35,Female,Returning Customer,22-11-2025 00:00,0.56150463,Retail Store,NYC-01,New York Central,United States,Northeast,New York,P018,Premium Pens,Office Supplies,Writing,5,23.9,10,107.56,68.22,39.34,Debit Card,Completed,Pickup,0,No,Not Returned,Grace Harris,Not Avl,0,84,119.5,IN Stock,96.804,2025,90
T02014036,O0114036,C02868,Emily Adams,32,Male,Small Business,04-07-2022 00:00,0.747430556,Retail Store,MUC-01,Munich Zentrum,Germany,Bavaria,Munich,P014,Filing Cabinet,Furniture,Storage,2,236.28,5,448.93,323.64,125.29,Debit Card,Completed,Pickup,0,No,Not Returned,Michael Clark,SPRING15,0,65,472.56,IN Stock,426.4835,2022,95
T02006001,O0106001,C04914,Isla Anderson,27,Male,New Customer,01-05-2022 00:00,0.753298611,Online,NYC-01,New York Central,United States,Northeast,New York,P018,Premium Pens,Office Supplies,Writing,5,24.46,5,116.19,70.32,45.88,Credit Card,Shipped,Pickup,0,No,Not Returned,Emma Carter,Not Avl,0,57,122.3,IN Stock,110.3805,2022,95
T02014503,O0107251,C03738,Oscar Nelson,31,Female,Consumer,15-05-2022 00:00,0.613344907,Retail Store,TOR-01,Toronto Central,Canada,Ontario,Toronto,P016,Laser Toner,Office Supplies,Consumables,2,118.1,15,200.76,177.19,23.57,Credit Card,Completed,Standard,3,No,Not Returned,Ella Lewis,HOLIDAY20,4,54,236.2,IN Stock,170.646,2022,85
T02001801,O0100900,C01564,Isla Lewis,53,Female,Small Business,23-10-2023 00:00,0.889594907,Online,TOR-01,Toronto Central,Canada,Ontario,Toronto,P009,Office Chair Pro,Furniture,Office Furniture,1,452.01,0,452.01,309.35,142.66,Credit Card,Completed,Express,1,No,Not Returned,Liam Davis,SAVE10,5,109,452.01,IN Stock,452.01,2023,100
T02002343,O0102343,C00849,Evelyn Jones,18,Female,Returning Customer,13-06-2025 00:00,0.763553241,Online,PAR-01,Paris Central,France,Île-de-France,Paris,P009,Office Chair Pro,Furniture,Office Furniture,1,469.08,0,469.08,338.39,130.68,Bank Transfer,Completed,Next Day,1,No,Not Returned,Lucas Moore,Not Avl,0,37,469.08,IN Stock,469.08,2025,100
T02000197,O0100197,C01967,Emily Johnson,39,Female,Consumer,25-10-2023 00:00,0.529224537,B2B Portal,MAN-01,Manchester North,United Kingdom,England,Manchester,P002,ProBook 16 Laptop,Electronics,Laptops,10,1345.17,0,13451.72,10067.29,3384.43,Cash,Returned,Standard,5,Yes,Other,Amelia Jackson,HOLIDAY20,5,66,13451.7,IN Stock,13451.72,2023,100
T02013632,O0106816,C03464,Amelia Miller,47,Male,Small Business,22-08-2025 00:00,0.68599537,Retail Store,LA-01,Los Angeles Downtown,United States,West,Los Angeles,P016,Laser Toner,Office Supplies,Consumables,1,121.26,10,109.13,95.89,13.24,Debit Card,Completed,Pickup,0,No,Not Returned,Daniel Miller,BLACKFRIDAY25,0,69,121.26,IN Stock,98.217,2025,90
T02017861,O0117861,C05200,Emily Martin,40,Female,Corporate,15-05-2025 00:00,0.599918981,Retail Store,LON-01,London City,United Kingdom,England,London,P026,Webcam HD,Electronics,Cameras,2,85.8,0,171.61,122,150.49,Credit Card,Shipped,Pickup,0,No,Not Returned,Amelia Jackson,Not Avl,1,52,171.6,IN Stock,171.61,2025,100
T02001719,O0100859,C02847,Noah Martin,35,Female,Consumer,18-11-2024 00:00,0.944560185,Online,LON-01,London City,United Kingdom,England,London,P007,NoiseCancel Headset,Electronics,Audio,3,148.27,15,378.08,316.19,61.89,DebitCard,Returned,Pickup,0,Yes,Damaged,Daniel Miller,Not Avl,4,73,444.81,IN Stock,321.368,2024,85
T02000421,O0100421,C00839,Arthur Williams,31,Female,Returning Customer,03-09-2025 00:00,0.377164352,Phone Order,VAN-01,Vancouver West,Canada,British Columbia,Vancouver,P003,EdgeTab 11 Tablet,Electronics,Tablets,2,518.23,5,984.63,830.07,154.56,Debit Card,Shipped,Standard,3,No,Not Returned,David Walker,Not Avl,0,73,1036.46,IN Stock,935.3985,2025,95
T02006171,O0106171,C05211,David Adams,35,Female,Consumer,08-07-2025 00:00,0.725775463,Retail Store,AUS-01,Austin Business,United States,South,Austin,P025,USB Power Hub,Electronics,Accessories,1,49.67,0,49.67,31.82,17.85,Apple Pay,Cancelled,Pickup,0,No,Not Returned,Grace Harris,HOLIDAY20,0,63,49.67,IN Stock,49.67,2025,100
T02009966,O0109966,C03484,Grace Davis,42,Male,Consumer,24-12-2024 00:00,0.591030093,Retail Store,AUS-01,Austin Business,United States,South,Austin,P002,ProBook 16 Laptop,Electronics,Laptops,2,1332.97,10,2399.34,2031.95,367.39,Debit Card,Shipped,Pickup,0,No,Not Returned,Daniel Miller,BACK2WORK,4,70,2665.94,IN Stock,2159.406,2024,90
T02004349,O0104349,C05534,James Young,36,Male,Consumer,28-03-2025 00:00,0.620092593,Retail Store,AUS-01,Austin Business,United States,South,Austin,P016,Laser Toner,Office Supplies,Consumables,3,111.05,0,333.16,268.6,64.56,Credit Card,Returned,Pickup,0,Yes,Other,Noah Wilson,SUMMER10,5,79,333.15,IN Stock,333.16,2025,100
T02004826,O0104826,C03134,Leo White,25,Female,Small Business,11-03-2023 00:00,0.646979167,Retail Store,AUS-01,Austin Business,United States,South,Austin,P005,Office Keyboard,Electronics,Accessories,1,62.29,10,56.06,41.14,14.92,Credit Card,Completed,Pickup,0,No,Not Returned,James Anderson,Not Avl,4,120,62.29,IN Stock,50.454,2023,90
T02011305,O0105652,C03724,Liam Young,41,Female,Consumer,12-11-2025 00:00,0.598171296,B2B Portal,PAR-01,Paris Central,France,Île-de-France,Paris,P026,Webcam HD,Electronics,Cameras,1,93.95,15,79.86,66.85,13.01,Cash,Completed,Standard,5,No,Not Returned,Henry White,Not Avl,5,25,93.95,IN Stock,67.881,2025,85
T02002136,O0102136,C00741,Theo Williams,42,Female,Consumer,25-07-2024 00:00,0.357592593,B2B Portal,SYD-01,Sydney CBD,Australia,New South Wales,Sydney,P004,Vision 27 Monitor,Electronics,Monitors,3,314.35,5,895.91,681.31,214.6,Credit Card,Completed,Pickup,0,No,Not Returned,Grace Harris,Not Avl,4,45,943.05,IN Stock,851.1145,2024,95
T02006962,O0103481,C00591,Ava Nelson,48,Unknown,Corporate,07-05-2025 00:00,0.822650463,Online,AUS-01,Austin Business,United States,South,Austin,P012,Ergo Footrest,Furniture,Office Furniture,2,78.5,15,133.45,101.81,31.63,Credit Card,Completed,Standard,3,No,Not Returned,Noah Wilson,Not Avl,0,52,157,IN Stock,113.4325,2025,85
T02014422,O0114422,C04516,Mia Harris,37,Male,Consumer,21-05-2024 00:00,0.770046296,Retail Store,TOR-01,Toronto Central,Canada,Ontario,Toronto,P005,Office Keyboard,Electronics,Accessories,1,56.87,15,48.34,37.02,11.32,Debit Card,Completed,Pickup,0,No,Not Returned,Mia Taylor,Not Avl,0,81,56.87,IN Stock,41.089,2024,85
T02010889,O0110889,C00728,Benjamin White,40,Male,Returning Customer,08-10-2023 00:00,0.798148148,Online,LON-01,London City,United Kingdom,England,London,P024,Desk Fan,Appliances,Climate,1,70.77,0,70.77,46.41,24.35,Credit Card,Cancelled,Standard,7,No,Not Returned,Mia Taylor,SPRING15,0,50,70.77,IN Stock,70.77,2023,100
T02016392,O0116392,C00892,Hannah Brown,31,Male,Consumer,21-02-2025 00:00,0.846539352,Online,LON-01,London City,United Kingdom,England,London,P022,Air Purifier,Appliances,Home Office,1,282.7,0,282.7,205.98,76.72,PayPal,Cancelled,Standard,4,No,Not Returned,Daniel Miller,Not Avl,3,53,282.7,IN Stock,282.7,2025,100
T02010373,O0110373,C03235,Noah Wilson,34,Male,Consumer,04-01-2024 00:00,0.477476852,Retail Store,LA-01,Los Angeles Downtown,United States,West,Los Angeles,P024,Desk Fan,Appliances,Climate,2,67.77,0,135.53,94.69,40.84,Credit Card,Cancelled,Pickup,0,No,Not Returned,Lucas Moore,Not Avl,5,66,135.54,IN Stock,135.53,2024,100
T02011912,O0105956,C04978,Maya Wright,61,Female,Consumer,01-10-2025 00:00,0.380543981,Online,NYC-01,New York Central,United States,Northeast,New York,P026,Webcam HD,Electronics,Cameras,1,87.6,0,87.6,61.04,26.56,Credit Card,Returned,Express,1,Yes,Late Delivery,James Anderson,Not Avl,3,99,87.6,IN Stock,87.6,2025,100
T02016396,O0116396,C00289,Benjamin Davis,39,Male,Returning Customer,09-08-2023 00:00,0.772743056,Online,CHI-01,Chicago Loop,United States,Midwest,Chicago,P014,Filing Cabinet,Furniture,Storage,2,241.75,0,483.5,325.05,158.45,Credit Card,Completed,Standard,4,No,Not Returned,Henry White,Not Avl,3,62,483.5,IN Stock,483.5,2023,100
T02011803,O0111803,C04288,Henry Wright,37,Female,Consumer,17-09-2025 00:00,0.571284722,B2B Portal,NYC-01,New York Central,United States,Northeast,New York,P009,Office Chair Pro,Furniture,Office Furniture,3,438.76,0,1316.29,955.24,361.05,Credit Card,Completed,Standard,4,No,Not Returned,Henry White,Not Avl,4,69,1316.28,IN Stock,1316.29,2025,100
T02001502,O0101502,C05129,Michael Walker,43,Male,Returning Customer,01-10-2023 00:00,0.5828125,Retail Store,COL-01,Cologne Business,Germany,North Rhine-Westphalia,Cologne,P026,Webcam HD,Electronics,Cameras,4,87.08,5,330.9,243.42,87.48,Credit Card,Completed,Pickup,0,No,Not Returned,James Anderson,Not Avl,5,105,348.32,IN Stock,314.355,2023,95
T02011530,O0105765,C01287,Samuel Anderson,37,Male,Small Business,04-06-2024 00:00,0.524328704,Online,LA-01,Los Angeles Downtown,United States,West,Los Angeles,P025,USB Power Hub,Electronics,Accessories,1,51.54,0,51.54,32.31,19.22,Debit Card,Processing,Next Day,3,No,Not Returned,Noah Wilson,Not Avl,0,78,51.54,IN Stock,51.54,2024,100
T02015187,O0115187,C03084,Oscar Martin,29,Female,Consumer,15-10-2024 00:00,0.385081019,Phone Order,NYC-01,New York Central,United States,Northeast,New York,P016,Laser Toner,Office Supplies,Consumables,1,119.65,10,107.69,92.43,11.7,Credit Card,Completed,Standard,4,No,Not Returned,Olivia Martin,SPRING15,4,48,119.65,IN Stock,96.921,2024,90
T02013538,O0106769,C01219,William Clark,48,Male,Corporate,01-12-2024 00:00,0.670613426,Retail Store,NYC-01,New York Central,United States,Northeast,New York,P006,Precision Mouse,Electronics,Accessories,1,41.02,5,38.97,25.22,13.74,Credit Card,Completed,Pickup,0,No,Not Returned,Emma Carter,Not Avl,4,74,41.02,IN Stock,37.0215,2024,95
T02001865,O0101865,C00114,Freya Scott,58,Female,Corporate,19-03-2024 00:00,0.416655093,Retail Store,NYC-01,New York Central,United States,Northeast,New York,P007,NoiseCancel Headset,Electronics,Audio,4,147.04,5,558.74,407.04,151.7,DebitCard,Completed,Pickup,0,No,Not Returned,Grace Harris,Not Avl,4,63,588.16,IN Stock,530.803,2024,95
T02002387,O0102387,C03269,James Young,38,Female,Corporate,07-11-2025 00:00,0.558402778,Retail Store,NYC-01,New York Central,United States,Northeast,New York,P025,USB Power Hub,Electronics,Accessories,1,49.13,15,41.76,29.74,12.02,Credit Card,Completed,Pickup,0,No,Not Returned,Ella Lewis,Not Avl,2,58,49.13,IN Stock,35.496,2025,85
T02017099,O0117099,C03070,Liam Baker,34,Female,New Customer,08-03-2022 00:00,0.693530093,Retail Store,LON-01,London City,United Kingdom,England,London,P014,Filing Cabinet,Furniture,Storage,1,239,0,239,169.77,69.23,PayPal,Shipped,Pickup,0,No,Not Returned,James Anderson,HOLIDAY20,3,53,239,IN Stock,239,2022,100
T02016904,O0116904,C00090,Maya Wright,48,Unknown,Consumer,16-07-2024 00:00,0.623784722,Retail Store,NYC-01,New York Central,United States,Northeast,New York,P013,Desk Lamp,Furniture,Lighting,1,67.52,0,67.52,40.21,27.31,Bank Transfer,Completed,Standard,7,No,Not Returned,James Anderson,HALLOWEEN15,2,63,67.52,IN Stock,67.52,2024,100
T02005086,O0105086,C03200,Hannah Taylor,43,Female,Consumer,02-07-2023 00:00,0.952534722,Online,MAN-01,Manchester North,United Kingdom,England,Manchester,P008,SmartDock USB-C,Electronics,Accessories,1,119.26,0,119.26,84.95,34.31,Credit Card,Completed,Express,2,No,Not Returned,Emma Carter,Not Avl,4,82,119.26,IN Stock,119.26,2023,100
T02014267,O0114267,C04712,Sophia Baker,34,Male,Corporate,09-03-2023 00:00,0.931423611,Online,MUC-01,Munich Zentrum,Germany,Bavaria,Munich,P010,Standing Desk,Furniture,Office Furniture,1,719.38,5,683.41,544.04,139.37,Debit Card,Completed,Standard,5,No,Not Returned,Charlotte Thomas,Not Avl,5,72,719.38,IN Stock,649.2395,2023,95
T02003969,O0101984,C01784,Leo Brown,52,Female,Premium,22-10-2025 00:00,0.547615741,B2B Portal,TOR-01,Toronto Central,Canada,Ontario,Toronto,P001,AeroBook 14 Laptop,Electronics,Laptops,8,868.56,0,6948.5,5597.48,1351.02,Bank Transfer,Cancelled,Pickup,0,No,Not Returned,James Anderson,Not Avl,0,81,6948.48,IN Stock,6948.5,2025,100
T02008047,O0104023,C01271,Emma Young,51,Female,Consumer,19-01-2024 00:00,0.636273148,Retail Store,AUS-01,Austin Business,United States,South,Austin,P006,Precision Mouse,Electronics,Accessories,3,38.45,10,103.8,70.04,33.76,Credit Card,Processing,Pickup,0,No,Not Returned,Amelia Jackson,SAVE10,4,67,115.35,IN Stock,93.42,2024,90
T02006308,O0106308,C03447,Noah Harris,20,Female,Consumer,24-11-2023 00:00,0.460729167,Retail Store,NYC-01,New York Central,United States,Northeast,New York,P003,EdgeTab 11 Tablet,Electronics,Tablets,3,500.48,20,1201.15,1224.06,-22.91,Credit Card,Completed,Pickup,0,No,Not Returned,Henry White,Not Avl,0,93,1501.44,IN Stock,960.92,2023,80
T02002518,O0102518,C00922,Henry Clark,44,Female,New Customer,12-03-2022 00:00,0.685752315,Retail Store,AUS-01,Austin Business,United States,South,Austin,P022,Air Purifier,Appliances,Home Office,3,306.51,0,919.52,660.82,258.7,Debit Card,Shipped,Pickup,0,No,Not Returned,Michael Clark,Not Avl,0,13,919.53,IN Stock,919.52,2022,100
T02003334,O0103334,C02078,David Green,47,Male,Consumer,03-04-2024 00:00,0.587199074,Retail Store,AUS-01,Austin Business,United States,South,Austin,P025,USB Power Hub,Electronics,Accessories,2,49.75,0,99.5,65.17,34.32,Unknown,Shipped,Pickup,0,No,Not Returned,Noah Wilson,Not Avl,4,39,99.5,IN Stock,99.5,2024,100
T02009314,O0104657,C03458,Noah Taylor,25,Male,Premium,28-11-2023 00:00,0.81712963,Online,VAN-01,Vancouver West,Canada,British Columbia,Vancouver,P024,Desk Fan,Appliances,Climate,3,69.29,20,166.29,141.51,24.78,Credit Card,Completed,Standard,5,No,Not Returned,David Walker,Not Avl,3,35,207.87,IN Stock,133.032,2023,80
T02012218,O0106109,C03816,Emma Moore,32,Female,Consumer,26-11-2022 00:00,0.631284722,Online,TOR-01,Toronto Central,Canada,Ontario,Toronto,P002,ProBook 16 Laptop,Electronics,Laptops,1,1281.78,10,1153.6,986.08,167.52,PayPal,Shipped,Standard,3,No,Not Returned,Amelia Jackson,Not Avl,4,77,1281.78,IN Stock,1038.24,2022,90
T02016009,O0116009,C01560,Isla Baker,57,Male,Returning Customer,17-02-2023 00:00,0.648298611,B2B Portal,LA-01,Los Angeles Downtown,United States,West,Los Angeles,P004,Vision 27 Monitor,Electronics,Monitors,4,349.63,10,1258.67,1013.03,245.64,Debit Card,Completed,Standard,0,No,Not Returned,Liam Davis,Not Avl,0,77,1398.52,IN Stock,1132.803,2023,90
T02015882,O0115882,C03746,Thomas Adams,62,Unknown,Consumer,11-09-2024 00:00,0.719351852,Online,TOR-01,Toronto Central,Canada,Ontario,Toronto,P003,EdgeTab 11 Tablet,Electronics,Tablets,1,502.51,0,502.51,393.58,108.93,Credit Card,Completed,Standard,4,No,Not Returned,Ella Lewis,HOLIDAY20,0,0,502.51,Out of Stock,502.51,2024,100
T02015823,O0107911,C04459,Evelyn Davis,39,Male,Small Business,07-12-2024 00:00,0.6721875,B2B Portal,MAN-01,Manchester North,United Kingdom,England,Manchester,P005,Office Keyboard,Electronics,Accessories,8,58.6,15,398.48,311.79,86.69,Credit Card,Cancelled,Pickup,0,No,Not Returned,Lucas Moore,SUMMER10,4,24,468.8,IN Stock,338.708,2024,85
T02010569,O0110569,C02640,Oscar Williams,35,Female,Consumer,13-10-2025 00:00,0.709212963,Retail Store,AUS-01,Austin Business,United States,South,Austin,P026,Webcam HD,Electronics,Cameras,1,90.26,0,90.26,63.99,26.27,Credit Card,Completed,Pickup,0,No,Not Returned,Lucas Moore,BACK2WORK,5,83,90.26,IN Stock,90.26,2025,100
T02016230,O0116230,C04884,Ella Williams,39,Female,Small Business,27-10-2025 00:00,0.867430556,Online,TOR-01,Toronto Central,Canada,Ontario,Toronto,P007,NoiseCancel Headset,Electronics,Audio,1,147.56,5,140.18,103.09,37.09,Bank Transfer,Returned,Standard,4,Yes,Damaged,Daniel Miller,Not Avl,0,86,147.56,IN Stock,133.171,2025,95
T02006466,O0106466,C00826,William Young,46,Female,Corporate,10-01-2025 00:00,0.693252315,Retail Store,MUC-01,Munich Zentrum,Germany,Bavaria,Munich,P001,AeroBook 14 Laptop,Electronics,Laptops,2,878.57,0,1757.13,1379.88,377.26,Debit Card,Returned,Standard,7,Yes,Defective,Ella Lewis,VALENTINE20,5,83,1757.14,IN Stock,1757.13,2025,100
T02007938,O0103969,C05449,Oscar King,26,Male,Consumer,24-09-2024 00:00,0.572418981,B2B Portal,LON-01,London City,United Kingdom,England,London,P028,Backup Drive 2TB,Electronics,Storage,3,133.75,0,401.26,288.51,112.75,Credit Card,Processing,Standard,6,No,Not Returned,Charlotte Thomas,Not Avl,2,119,401.25,IN Stock,401.26,2024,100
T02015629,O0115629,C02278,Evelyn Lewis,43,Male,Consumer,16-10-2025 00:00,0.652546296,Online,NYC-01,New York Central,United States,Northeast,New York,P023,Unknown ,Appliances,Climate,1,100.58,5,95.55,72.54,23.01,Credit Card,Completed,Pickup,0,No,Not Returned,Daniel Miller,Not Avl,2,74,100.58,IN Stock,90.7725,2025,95
T02003013,O0103013,C01353,Mia Adams,45,Male,Small Business,25-07-2025 00:00,0.524282407,Phone Order,AUS-01,Austin Business,United States,South,Austin,P004,Vision 27 Monitor,Electronics,Monitors,2,311.07,5,591.03,479.34,111.69,Credit Card,Completed,Pickup,0,No,Not Returned,Henry White,Not Avl,0,78,622.14,IN Stock,561.4785,2025,95
T02000247,O0100247,C05505,Emma Young,40,Female,Consumer,01-05-2025 00:00,0.577708333,Retail Store,SYD-01,Sydney CBD,Australia,New South Wales,Sydney,P001,AeroBook 14 Laptop,Electronics,Laptops,3,879.64,10,2375.03,2037.52,337.51,Bank Transfer,Completed,Pickup,0,No,Not Returned,Charlotte Thomas,Not Avl,3,57,2638.92,IN Stock,2137.527,2025,90
T02003532,O0103532,C04077,Ella Harris,37,Female,Corporate,21-12-2023 00:00,0.576759259,Retail Store,LON-01,London City,United Kingdom,England,London,P026,Webcam HD,Electronics,Cameras,3,87.38,5,249.03,190.06,58.97,Credit Card,Shipped,Pickup,0,No,Not Returned,James Anderson,Not Avl,1,86,262.14,IN Stock,236.5785,2023,95
T02010758,O0110758,C03747,Leo Scott,32,Male,Small Business,30-01-2023 00:00,0.635625,Online,TOR-01,Toronto Central,Canada,Ontario,Toronto,P012,Ergo Footrest,Furniture,Office Furniture,1,76.77,0,76.77,47.5,29.26,Apple Pay,Cancelled,Pickup,0,No,Not Returned,Daniel Miller,Not Avl,4,75,76.77,IN Stock,76.77,2023,100
T02011821,O0111821,C00605,Nora Taylor,31,Male,Small Business,16-09-2022 00:00,0.386388889,B2B Portal,SYD-01,Sydney CBD,Australia,New South Wales,Sydney,P013,Desk Lamp,Furniture,Lighting,1,68.56,0,68.56,42.18,26.38,Credit Card,Completed,Express,1,No,Not Returned,Michael Clark,Not Avl,4,72,68.56,IN Stock,68.56,2022,100
T02015234,O0115234,C00802,Thomas Wilson,22,Male,Consumer,10-12-2025 00:00,0.863854167,Online,SYD-01,Sydney CBD,Australia,New South Wales,Sydney,P018,Premium Pens,Office Supplies,Writing,1,23.57,15,20.03,14.2,5.83,PayPal,Completed,Express,1,No,Not Returned,Olivia Martin,Not Avl,0,63,23.57,IN Stock,17.0255,2025,85
T02007863,O0107863,C02844,Lily Moore,50,Female,Consumer,12-04-2025 00:00,0.372581019,Retail Store,MAN-01,Manchester North,United Kingdom,England,Manchester,P020,Presentation Kit,Office Supplies,Presentation,1,85.98,0,85.98,55.68,30.3,Cash,Completed,Pickup,0,No,Not Returned,Mia Taylor,Not Avl,5,98,85.98,IN Stock,85.98,2025,100
T02011614,O0111614,C01844,George Jones,19,Male,Consumer,25-04-2024 00:00,0.583587963,Online,PAR-01,Paris Central,France,Île-de-France,Paris,P006,Precision Mouse,Electronics,Accessories,1,39.78,0,39.78,24.07,15.72,PayPal,Completed,Standard,4,No,Not Returned,Olivia Martin,SUMMER10,0,121,39.78,IN Stock,39.78,2024,100
T02013473,O0113473,C03534,Noah Scott,27,Male,Consumer,03-04-2024 00:00,0.334456019,Retail Store,TOR-01,Toronto Central,Canada,Ontario,Toronto,P018,Premium Pens,Office Supplies,Writing,2,23.49,0,46.98,28.13,18.85,DebitCard,Completed,Standard,7,No,Not Returned,Mia Taylor,Not Avl,0,84,46.98,IN Stock,46.98,2024,100
T02001250,O0101250,C05430,Aria Martin,39,Male,Premium,28-12-2023 00:00,0.649467593,Online,CHI-01,Chicago Loop,United States,Midwest,Chicago,P005,Office Keyboard,Electronics,Accessories,1,57.85,10,52.06,37.18,14.89,Credit Card,Completed,Express,2,Yes,Defective,Liam Davis,Not Avl,4,61,57.85,IN Stock,46.854,2023,90
